Entity;Code;Year;Electric cars sold;Non-electric car sales;Total Sales
China;CHN;2019;1060000;20140000;21200000
China;CHN;2020;1140000;18860000;20000000
China;CHN;2021;3250000;18416667;21666667
China;CHN;2022;5900000;14444828;20344828
China;CHN;2023;8100000;13215790;21315790
China;CHN;2024;11300000;12241667;23541667
United States;USA;2019;325000;15151191;15476191
United States;USA;2020;294000;12488609;12782609
United States;USA;2021;630000;12774255;13404255
United States;USA;2022;990000;12388378;13378378
United States;USA;2023;1390000;13241579;14631579
United States;USA;2024;1520000;13680000;15200000
Mexico;MEX;2019;1690;1124977;1126667
Mexico;MEX;2020;3800;771710;775510
Mexico;MEX;2021;6500;826833;833333
Mexico;MEX;2022;8400;866600;875000
Mexico;MEX;2023;16100;1057233;1073333
Mexico;MEX;2024;27100;1204718;1231818
Brazil;BRA;2019;1940;2307584;2309524
Brazil;BRA;2020;2600;1622400;1625000
Brazil;BRA;2021;13900;1496970;1510870
Brazil;BRA;2022;18500;1523167;1541667
Brazil;BRA;2023;52000;1681333;1733333
Brazil;BRA;2024;125000;1828125;1953125
India;IND;2019;687;2861813;2862500
India;IND;2020;3143;2616024;2619167
India;IND;2021;12050;2926974;2939024
India;IND;2022;48023;3382191;3430214
India;IND;2023;82270;3835349;3917619
India;IND;2024;92095;4293381;4385476